46168:
 num     #instances         #bytes  class name (module)
 114:          7172         172128  org.jetbrains.plugins.textmate.language.syntax.SyntaxNodeReferenceDescriptor
 115:          6995         167880  kotlin.SafePublicationLazyImpl
 116:          6933         166392  org.languagetool.rules.patterns.StringMatcher$1
 117:          4032         161280  com.intellij.ide.v.R.b9
 118:           240         161280  io.grpc.netty.shaded.io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue
 119:          5019         160608  java.lang.Package (java.base@21.0.8)
 120:          3325         159600  com.intellij.psi.SingleRootFileViewProvider
 121:          9722         155552  java.lang.Character (java.base@21.0.8)
 122:            79         153184  [Ljava.nio.ByteBuffer; (java.base@21.0.8)
 123:          6281         150744  com.intellij.util.SmartList
 124:          2669         149464  com.intellij.ide.ui.IJColorUIResource
 125:          6185         148440  kotlin.reflect.jvm.internal.impl.storage.LockBasedStorageManager$LockBasedNotNullLazyValue
 126:          3681         147240  com.intellij.util.containers.ConcurrentWeakHashMap$WeakKey
 127:           401         146616  [Ljava.lang.management.ThreadInfo; (java.management@21.0.8)
 128:          6058         145392  java.util.regex.Pattern$BmpCharProperty (java.base@21.0.8)
 129:          6016         144384  com.intellij.openapi.vfs.newvfs.persistent.namecache.MRUFileNameCache$CacheEntryNameWithId
 130:          6009         144216  kotlin.reflect.jvm.internal.impl.name.Name
 131:          2952         141696  io.opentelemetry.sdk.metrics.internal.exemplar.ReservoirCell
 132:          5848         140352  java.util.regex.Pattern$SliceU (java.base@21.0.8)
 133:          5685         136440  ai.grazie.detector.utils.collections.array.TrivialOptimizedFloatArray
 134:          5640         135360  org.languagetool.rules.patterns.StringMatcher$4
 135:          1516         133408  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation$Argument$Value
 136:          4125         132000  java.awt.Color (java.desktop)
 137:          4113         131616  com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl
 138:          4074         130368  com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference
 139:          2024         129536  com.intellij.openapi.actionSystem.ActionStub
 140:          5256         126144  java.util.concurrent.atomic.AtomicLong (java.base@21.0.8)
 141:          3939         126048  kotlinx.coroutines.ChildHandleNode
 142:           982         125696  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Property
 143:          2604         125240  [Ljava.util.regex.Pattern$Node; (java.base@21.0.8)
 144:          5150         123600  kotlin.SynchronizedLazyImpl
 145:          7649         122384  java.util.concurrent.locks.ReentrantLock (java.base@21.0.8)
